AUC,Mean Insertion Errors for each Pixel
7.010622185132199,"[0.69893165 0.65186151 0.6321164  0.53913561 0.46165581 0.44788539
 0.41465154 0.36025507 0.30737259 0.274527   0.25260095 0.20592626
 0.20586126 0.17131497 0.16930308 0.14045183 0.13961253 0.12667858
 0.12481442 0.11314943 0.10121603 0.08616056 0.07916335 0.07699826
 0.06639541 0.06998601 0.06345528 0.04980183 0.03739065 0.03034125
 0.02819708 0.02939905 0.03132636 0.02947985 0.03265458 0.03275122
 0.02697532 0.01998491 0.01389722 0.01178878 0.00923828]"
7.9227498736771675,"[0.68401069 0.64971922 0.60537207 0.60651472 0.50475335 0.45664703
 0.42178752 0.38052705 0.35536926 0.33047239 0.31770187 0.29127966
 0.25828757 0.23034628 0.21792319 0.21415604 0.18790672 0.17487502
 0.14394422 0.13272111 0.12731134 0.11146746 0.11254266 0.10234257
 0.08846609 0.07926536 0.06743818 0.05801875 0.0492394  0.0511009
 0.03060646 0.03846635 0.03784464 0.03315306 0.02804478 0.02134738
 0.02376615 0.01721055 0.01079833 0.00825465 0.00751032]"
7.585053006623869,"[0.69681687 0.63017349 0.56918956 0.57028637 0.54711364 0.44820782
 0.3799014  0.36190829 0.33367382 0.30562645 0.27790333 0.25002429
 0.22555208 0.21903115 0.2057834  0.19696327 0.1815205  0.15782608
 0.14359541 0.11135341 0.12303928 0.12991173 0.11242482 0.09096582
 0.09221976 0.0845592  0.06443258 0.050643   0.0497976  0.04693132
 0.04145399 0.04417517 0.0357272  0.03587058 0.03040679 0.03108108
 0.01940565 0.01475905 0.01044026 0.00879038 0.00795109]"
7.346493912802794,"[0.68354217 0.63588604 0.54738418 0.47944807 0.4805269  0.4729541
 0.39656057 0.34231712 0.28712494 0.27384759 0.24947048 0.22176217
 0.21274819 0.20571222 0.21888157 0.20149922 0.18077396 0.1289939
 0.12715952 0.11083144 0.10292926 0.1231537  0.13459659 0.12509344
 0.10213133 0.09649609 0.0714392  0.05641784 0.05171693 0.05810707
 0.04709888 0.04066742 0.04040194 0.04126248 0.03643482 0.03685843
 0.02581551 0.01502571 0.0113235  0.009367   0.00900706]"
7.531262704602261,"[0.71917498 0.66470557 0.59053428 0.49140259 0.40832417 0.39422729
 0.37714523 0.33978449 0.33228609 0.27294937 0.26427407 0.23523135
 0.21251321 0.23655203 0.25012025 0.21775883 0.17151284 0.1426313
 0.12996261 0.10819583 0.09722954 0.11821288 0.11800372 0.1246348
 0.10887653 0.10431828 0.08907754 0.06565039 0.06337612 0.07536189
 0.06350914 0.05423542 0.05395183 0.04070617 0.04294317 0.04250347
 0.02590193 0.01759793 0.01278344 0.00996165 0.00545591]"
6.689374255225816,"[0.67596632 0.62815832 0.56468692 0.4398018  0.3687163  0.28538333
 0.3307479  0.31253302 0.29501092 0.25539741 0.23486346 0.21082529
 0.19263429 0.19253407 0.21356919 0.17363026 0.16642562 0.13372999
 0.11543838 0.10718104 0.09629074 0.10072528 0.09781504 0.09446269
 0.09276488 0.09371252 0.08002706 0.05414189 0.0466327  0.05033769
 0.0538638  0.04588966 0.04385626 0.03537624 0.03969694 0.03585031
 0.02596227 0.01562996 0.01290165 0.00945158 0.00946881]"
6.929076272512288,"[0.68176741 0.65688138 0.58164612 0.4642849  0.38736378 0.2982064
 0.32927587 0.3189792  0.30763868 0.28669486 0.2509572  0.22550551
 0.20373218 0.18888607 0.22309877 0.17626367 0.17131605 0.13844019
 0.11620478 0.10348124 0.09756759 0.10145083 0.09271407 0.09317556
 0.07989733 0.09435536 0.07981925 0.05733325 0.05763993 0.06460647
 0.06032016 0.0494949  0.04470747 0.04011496 0.03999682 0.04300367
 0.02332102 0.0167215  0.0107835  0.00757189 0.0094804 ]"
6.957582565035861,"[0.69224272 0.68539125 0.59951353 0.47864232 0.40307914 0.28914209
 0.35654197 0.32342848 0.3107022  0.29062349 0.25982902 0.20382632
 0.19924793 0.1955494  0.22364891 0.18161788 0.16801793 0.12957102
 0.12180868 0.10695408 0.10070406 0.09232975 0.08723701 0.07388325
 0.05790763 0.06663809 0.06520738 0.07368286 0.05105546 0.05619933
 0.05382438 0.05139097 0.04896282 0.04310533 0.04260995 0.03936
 0.0329393  0.0210327  0.01279082 0.00961935 0.00769022]"
6.592413808244642,"[0.68230262 0.64302928 0.57405189 0.4560498  0.35392257 0.28238844
 0.32996427 0.30553984 0.30018513 0.29266741 0.2476196  0.20262489
 0.18092259 0.20449406 0.21352779 0.17579744 0.15452177 0.13156674
 0.1216288  0.10226978 0.09536354 0.08315259 0.07522205 0.06763836
 0.05112013 0.05690307 0.05858885 0.05675447 0.046278   0.05195812
 0.04726337 0.0528734  0.04820475 0.03643005 0.0410436  0.0349599
 0.03174118 0.02138818 0.00905912 0.00813107 0.00883326]"
6.773048879983438,"[0.68975147 0.63160541 0.56433785 0.43780936 0.3691256  0.30317355
 0.31087314 0.30628902 0.30635401 0.3043315  0.24054211 0.22621299
 0.18698143 0.20244399 0.2155877  0.17453528 0.15833813 0.1422449
 0.11321087 0.11248037 0.10222746 0.08889817 0.07156441 0.07551236
 0.06960444 0.07000104 0.06096971 0.07164463 0.06231645 0.05826828
 0.05990196 0.05392625 0.04628761 0.0468811  0.05040167 0.04174626
 0.03835993 0.02742477 0.01245947 0.00927193 0.00805606]"
6.711071887235601,"[0.70013228 0.61941455 0.56300097 0.41564972 0.36181155 0.3046834
 0.30584625 0.28262164 0.30017804 0.28355327 0.24944105 0.21442822
 0.20794163 0.20889334 0.23545071 0.17446985 0.16085884 0.14413593
 0.12637326 0.11022693 0.10541974 0.09255423 0.076586   0.07414186
 0.06718734 0.06550894 0.06268901 0.06045214 0.06095629 0.06324944
 0.04963178 0.04551295 0.05288108 0.04690118 0.0416334  0.04406453
 0.03319596 0.02450591 0.01318834 0.00724544 0.00904207]"
