AUC,Mean Deletion Errors for each Pixel
19.706077107510417,"[0.         0.03566548 0.07717392 0.09597985 0.1373971  0.17095405
 0.20956297 0.23432966 0.23723367 0.24859217 0.28128567 0.32720777
 0.35254595 0.41370947 0.41889879 0.44502812 0.48780283 0.50717742
 0.55118368 0.55183869 0.54944564 0.61624238 0.6363374  0.64936832
 0.67761793 0.66227469 0.689521   0.72415631 0.71183842 0.70717592
 0.68843899 0.70957952 0.72296561 0.67184089 0.69698568 0.69456214
 0.69025221 0.69481541 0.67884195 0.70287425 0.69475037]"
13.687464788958422,"[0.         0.02976264 0.06324754 0.08785026 0.11331467 0.15556503
 0.17074556 0.17902419 0.191257   0.22550978 0.26762746 0.26101347
 0.28113121 0.28701709 0.28860004 0.27063072 0.29416407 0.31249986
 0.3290543  0.34226412 0.35960367 0.35060765 0.35775212 0.35824263
 0.36613539 0.3166767  0.294933   0.31824432 0.35513673 0.36247514
 0.36873359 0.41844099 0.4417895  0.53627207 0.54763807 0.62648771
 0.64922973 0.69449573 0.73654588 0.72407046 0.70734939]"
12.71198512249781,"[0.         0.02566817 0.05248037 0.07943278 0.09614356 0.12282777
 0.15810506 0.15171263 0.14771265 0.15426875 0.1753989  0.20688288
 0.26576945 0.29836296 0.34242193 0.34610332 0.37821405 0.36349134
 0.33889249 0.3075288  0.34238456 0.33676247 0.35078074 0.32980492
 0.31954856 0.3173197  0.3195403  0.30790957 0.30336215 0.33044474
 0.31219236 0.32936753 0.38022534 0.38251959 0.42283415 0.52075415
 0.59246597 0.69038404 0.73821177 0.72272226 0.70206478]"
12.724078327348696,"[0.         0.02480649 0.05633072 0.08157428 0.11264027 0.13941369
 0.14534835 0.14604485 0.13582651 0.16787666 0.18158677 0.22092103
 0.24343845 0.27595532 0.29832538 0.35045987 0.37260707 0.35641574
 0.37514321 0.35906522 0.34201073 0.34856479 0.34014247 0.32862003
 0.31273359 0.28708404 0.30137656 0.33442707 0.33858122 0.30184071
 0.32348263 0.33904268 0.35480511 0.43072268 0.43310268 0.49000532
 0.57016737 0.66961296 0.7507854  0.7294255  0.70752986]"
13.300074369859153,"[0.         0.02523719 0.06317428 0.0882837  0.16137219 0.18584357
 0.18243726 0.17715231 0.18955374 0.19858312 0.23483247 0.22692756
 0.24456455 0.25906041 0.28093118 0.28347917 0.31162906 0.29741078
 0.28846543 0.30073003 0.31128439 0.31453916 0.31736899 0.31991948
 0.31146745 0.30803236 0.35542695 0.36872925 0.39961539 0.37521609
 0.36606535 0.39016915 0.38733785 0.42634106 0.51529176 0.60395761
 0.70315135 0.74859112 0.72822715 0.71096007 0.67742886]"
13.573259008434265,"[0.         0.01825008 0.05551543 0.11285803 0.15762224 0.17873653
 0.21834168 0.24728962 0.26319834 0.22609238 0.22188618 0.20295348
 0.18580411 0.18176072 0.19230716 0.20516175 0.22934999 0.22879331
 0.24098758 0.22851165 0.24883039 0.22475261 0.2320716  0.27670604
 0.29192734 0.30348453 0.3385834  0.3377325  0.38971184 0.40829163
 0.44853392 0.53493564 0.57359431 0.58377522 0.61742692 0.71898624
 0.77901532 0.82602387 0.76283837 0.72876127 0.70371155]"
14.399432106227668,"[0.         0.0199975  0.05392175 0.10386075 0.18122166 0.21494717
 0.27554818 0.27409034 0.26581346 0.25538246 0.2477623  0.21242888
 0.1815497  0.18067571 0.16676672 0.17786637 0.18845362 0.18445447
 0.20392403 0.21796154 0.21177465 0.21519207 0.22581364 0.27620893
 0.27725206 0.3029286  0.35147553 0.35851225 0.4281277  0.46745356
 0.52155143 0.54506111 0.66422611 0.74882165 0.82086166 0.8331199
 0.83803942 0.81072484 0.82810357 0.72384852 0.68741661]"
14.742202229336762,"[0.         0.0150055  0.03923007 0.07468951 0.13748435 0.19444589
 0.23861879 0.22892504 0.24150789 0.19903996 0.20246333 0.19273402
 0.17809154 0.17167393 0.15112068 0.14164908 0.1521209  0.15595775
 0.16648349 0.16518589 0.18777912 0.21259283 0.24705585 0.28779174
 0.32246872 0.34706119 0.37575787 0.42349712 0.47776182 0.58422029
 0.66852631 0.70313657 0.7883873  0.77269479 0.82177415 0.84191678
 0.86312873 0.85148924 0.84446662 0.73154565 0.6854438 ]"
14.996045250026848,"[0.         0.01829918 0.03243198 0.0529555  0.08233084 0.0931047
 0.13745784 0.18711698 0.28160377 0.21137982 0.19230611 0.19565699
 0.19746875 0.18869502 0.19798461 0.17837938 0.17309883 0.17918678
 0.16907982 0.19120781 0.21208442 0.25404126 0.29789777 0.3630253
 0.3922096  0.3950665  0.40209727 0.44783446 0.49327474 0.58229768
 0.69614638 0.72874881 0.79781202 0.7631739  0.82550092 0.8266375
 0.85218886 0.84078793 0.80164219 0.72512006 0.67742594]"
14.543903515412921,"[0.         0.01686036 0.02572037 0.04911685 0.06060295 0.07247754
 0.11801431 0.19431486 0.21227464 0.21986095 0.1841207  0.17582337
 0.17596932 0.17721128 0.1862744  0.16340899 0.15527873 0.17047309
 0.17841613 0.19416987 0.21123373 0.23564877 0.28072294 0.32831824
 0.35443873 0.43341076 0.43537459 0.46446469 0.51213002 0.57448123
 0.69871137 0.72379338 0.74964355 0.75363817 0.7965583  0.80827473
 0.8177316  0.8201917  0.77593699 0.71355035 0.65052184]"
14.917057514007634,"[0.         0.0168665  0.03180953 0.04726638 0.06127969 0.07083701
 0.12351366 0.17360712 0.22461162 0.22202531 0.17183148 0.18264428
 0.19085695 0.17498324 0.17941763 0.17716005 0.17220687 0.17846358
 0.19089056 0.19055827 0.22004476 0.24317002 0.29272312 0.35447793
 0.40007765 0.48714464 0.47247034 0.51917778 0.50852341 0.59811325
 0.69596887 0.73196189 0.79173114 0.7677119  0.80466049 0.8200666
 0.822829   0.80939902 0.75490886 0.70054597 0.68104233]"
